Filename,Type,Camera ID,Timestamp,Person Detected,Person Count,Highest Confidence,Detection Time (ms)
snapshot_cam1_2025-07-11T10-16-03-618Z.jpg,snapshot,cam1,2025:07:11T10:16:03,false,0,0,754
snapshot_cam1_2025-07-11T10-16-13-671Z.jpg,snapshot,cam1,2025:07:11T10:16:13,false,0,0,271
snapshot_cam1_2025-07-11T10-16-35-238Z.jpg,snapshot,cam1,2025:07:11T10:16:35,false,0,0,280
snapshot_cam1_2025-07-11T10-16-51-279Z.jpg,snapshot,cam1,2025:07:11T10:16:51,false,0,0,573
snapshot_cam1_2025-07-11T10-20-07-982Z.jpg,snapshot,cam1,2025:07:11T10:20:07,false,0,0,297
snapshot_cam1_2025-07-11T10-20-18-198Z.jpg,snapshot,cam1,2025:07:11T10:20:18,true,1,78,193
snapshot_cam1_2025-07-11T10-20-28-314Z.jpg,snapshot,cam1,2025:07:11T10:20:28,false,0,0,382
snapshot_cam1_2025-07-11T10-20-38-432Z.jpg,snapshot,cam1,2025:07:11T10:20:38,false,0,0,204
snapshot_cam1_2025-07-11T10-20-55-610Z.jpg,snapshot,cam1,2025:07:11T10:20:55,false,0,0,356
snapshot_cam1_2025-07-11T10-21-05-755Z.jpg,snapshot,cam1,2025:07:11T10:21:05,true,1,53,232
snapshot_cam1_2025-07-11T10-23-34-425Z.jpg,snapshot,cam1,2025:07:11T10:23:34,false,0,0,311
snapshot_cam1_2025-07-11T10-23-46-758Z.jpg,snapshot,cam1,2025:07:11T10:23:46,true,1,53,151
snapshot_cam1_2025-07-11T10-26-01-656Z.jpg,snapshot,cam1,2025:07:11T10:26:01,false,0,0,523
snapshot_cam1_2025-07-11T10-26-12-146Z.jpg,snapshot,cam1,2025:07:11T10:26:12,false,0,0,332
snapshot_cam1_2025-07-11T10-26-35-643Z.jpg,snapshot,cam1,2025:07:11T10:26:35,false,0,0,143
snapshot_cam1_2025-07-11T10-26-57-303Z.jpg,snapshot,cam1,2025:07:11T10:26:57,false,0,0,117
snapshot_cam1_2025-07-11T10-28-25-391Z.jpg,snapshot,cam1,2025:07:11T10:28:25,false,0,0,481
snapshot_cam1_2025-07-11T10-28-59-258Z.jpg,snapshot,cam1,2025:07:11T10:28:59,true,1,73,352
snapshot_cam1_2025-07-11T10-29-14-758Z.jpg,snapshot,cam1,2025:07:11T10:29:14,true,1,54,377
snapshot_cam1_2025-07-11T10-29-27-449Z.jpg,snapshot,cam1,2025:07:11T10:29:27,true,1,68,128
snapshot_cam1_2025-07-11T10-30-41-223Z.jpg,snapshot,cam1,2025:07:11T10:30:41,false,0,0,162
snapshot_cam1_2025-07-11T10-31-07-240Z.jpg,snapshot,cam1,2025:07:11T10:31:07,false,0,0,150
snapshot_cam1_2025-07-11T10-31-20-399Z.jpg,snapshot,cam1,2025:07:11T10:31:20,false,0,0,241
